accesscontrolinfo,alertactionscount,alertactionssent,attacks,captchasupport,city,clientipex,clientport,cookiessupport,countrycode,dlingestiontimestamp,endpointid,endtime,geocoordinates,headersview,hiddenalertactionscount,hiddenalertactionssent,httpversion,incidentoccurred,jssupport,mainattack,method,normalactionscount,normalactionssent,objectidentifier,pagehitcount,postbody,protocol,querystring,referrer,requestendtime,requestid,requestresult,requeststarttime,responseattacks,responseendtime,responsestarttime,serialnumber,sessionid,sessionmessagetime,sessionstarttime,siteid,sslcipher,tagevenets,tcpinfo,totalactionscount,totalactionssent,totalhitcount,url,urlid,visitorclappid,visitorclappsig1,visitorclapptype,visitorid,year,month,day,hour,minute,sessionblockinginfo,xforwardedfor,contentlength,useragent,dynamiciplists,tlsfingerprint,tlsfingerprintid,proxyid,messagedate,att
ALLOW,2,2,credential_stuffing,true,Amsterdam,185.23.44.10,443,true,NL,2026-05-01T08:00:01Z,EP001,2026-05-01T08:00:03Z,"52.37,4.89",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1001,55,"username=a&password=b",HTTPS,"?next=/dashboard",google.com,2026-05-01T08:00:03Z,REQ0001,BLOCKED,2026-05-01T08:00:01Z,password_spray,2026-05-01T08:00:03Z,2026-05-01T08:00:02Z,SN001,SID1001,2026-05-01T08:00:02Z,2026-05-01T08:00:00Z,SITE01,TLS_AES_256_GCM_SHA384,login_spike,ok,6,6,55,https://corp.com/login,U001,CLAPP1,SIGX1,browser,VIS001,2026,5,1,8,0,SOFT_BLOCK,10.0.0.1,1024,python-requests/2.31,true,TLSFP001,1001,PRX01,2026-05-01,high
ALLOW,1,1,scraping,true,Moscow,91.77.201.4,443,true,RU,2026-05-01T08:01:01Z,EP002,2026-05-01T08:01:04Z,"55.75,37.61",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1002,120,,HTTPS,"?page=1",bing.com,2026-05-01T08:01:04Z,REQ0002,CHALLENGED,2026-05-01T08:01:01Z,catalog_enum,2026-05-01T08:01:04Z,2026-05-01T08:01:03Z,SN002,SID1002,2026-05-01T08:01:03Z,2026-05-01T08:01:00Z,SITE01,TLS_AES_128_GCM_SHA256,pricing_probe,ok,3,3,120,https://corp.com/catalog,U002,CLAPP2,SIGX2,headless,VIS002,2026,5,1,8,1,RATE_LIMIT,10.0.0.2,0,HeadlessChrome,true,TLSFP002,1002,PRX02,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Berlin,77.55.12.77,443,true,DE,2026-05-01T08:02:01Z,EP003,2026-05-01T08:02:05Z,"52.52,13.40",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1003,210,"qty=4",HTTPS,"?event=123",direct,2026-05-01T08:02:05Z,REQ0003,BLOCKED,2026-05-01T08:02:01Z,inventory_hoard,2026-05-01T08:02:05Z,2026-05-01T08:02:03Z,SN003,SID1003,2026-05-01T08:02:03Z,2026-05-01T08:02:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,210,https://corp.com/checkout,U003,CLAPP3,SIGX3,automation,VIS003,2026,5,1,8,2,HARD_BLOCK,10.0.0.3,512,Playwright,true,TLSFP003,1003,PRX03,2026-05-01,critical
ALLOW,0,0,normal,false,New York,34.91.12.8,443,true,US,2026-05-01T08:03:01Z,EP004,2026-05-01T08:03:02Z,"40.71,-74.00",std_headers,0,0,HTTP/2,false,true,None,GET,1,1,OBJ1004,18,,HTTPS,"",google.com,2026-05-01T08:03:02Z,REQ0004,ALLOWED,2026-05-01T08:03:01Z,None,2026-05-01T08:03:02Z,2026-05-01T08:03:02Z,SN004,SID1004,2026-05-01T08:03:02Z,2026-05-01T08:03:00Z,SITE01,TLS_AES_256_GCM_SHA384,normal_browse,ok,1,1,18,https://corp.com/home,U004,CLAPP4,SIGX4,browser,VIS004,2026,5,1,8,3,NONE,10.0.0.4,256,Chrome/124,false,TLSFP004,1004,,2026-05-01,low
ALLOW,2,2,credential_stuffing,true,Tokyo,150.44.91.31,443,true,JP,2026-05-01T08:04:01Z,EP005,2026-05-01T08:04:03Z,"35.68,139.69",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1005,77,"username=x&password=y",HTTPS,"?retry=1",direct,2026-05-01T08:04:03Z,REQ0005,BLOCKED,2026-05-01T08:04:01Z,password_spray,2026-05-01T08:04:03Z,2026-05-01T08:04:02Z,SN005,SID1005,2026-05-01T08:04:02Z,2026-05-01T08:04:00Z,SITE01,TLS_AES_128_GCM_SHA256,login_wave,ok,6,6,77,https://corp.com/login,U005,CLAPP5,SIGX5,script,VIS005,2026,5,1,8,4,SOFT_BLOCK,10.0.0.5,768,curl/8.1,true,TLSFP005,1005,PRX05,2026-05-01,high
ALLOW,1,1,scraping,true,London,66.19.200.18,443,true,GB,2026-05-01T08:05:01Z,EP006,2026-05-01T08:05:03Z,"51.50,-0.12",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1006,165,,HTTPS,"?sku=22",refsite.com,2026-05-01T08:05:03Z,REQ0006,CHALLENGED,2026-05-01T08:05:01Z,api_harvest,2026-05-01T08:05:03Z,2026-05-01T08:05:02Z,SN006,SID1006,2026-05-01T08:05:02Z,2026-05-01T08:05:00Z,SITE01,TLS_AES_256_GCM_SHA384,api_probe,ok,3,3,165,https://corp.com/api/products,U006,CLAPP6,SIGX6,headless,VIS006,2026,5,1,8,5,RATE_LIMIT,10.0.0.6,0,Go-http-client/1.1,true,TLSFP006,1006,PRX06,2026-05-01,medium
ALLOW,2,2,credential_stuffing,true,Seoul,59.77.31.19,443,true,KR,2026-05-01T08:06:01Z,EP007,2026-05-01T08:06:03Z,"37.56,126.97",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1007,88,"username=z&password=1",HTTPS,"?retry=2",direct,2026-05-01T08:06:03Z,REQ0007,BLOCKED,2026-05-01T08:06:01Z,password_spray,2026-05-01T08:06:03Z,2026-05-01T08:06:02Z,SN007,SID1007,2026-05-01T08:06:02Z,2026-05-01T08:06:00Z,SITE01,TLS_AES_256_GCM_SHA384,login_wave,ok,6,6,88,https://corp.com/login,U007,CLAPP7,SIGX7,script,VIS007,2026,5,1,8,6,SOFT_BLOCK,10.0.0.7,640,curl/8.1,true,TLSFP007,1007,PRX07,2026-05-01,high
ALLOW,1,1,scraping,true,Madrid,88.11.74.2,443,true,ES,2026-05-01T08:07:01Z,EP008,2026-05-01T08:07:04Z,"40.41,-3.70",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1008,190,,HTTPS,"?page=3",google.com,2026-05-01T08:07:04Z,REQ0008,CHALLENGED,2026-05-01T08:07:01Z,price_scrape,2026-05-01T08:07:04Z,2026-05-01T08:07:03Z,SN008,SID1008,2026-05-01T08:07:03Z,2026-05-01T08:07:00Z,SITE01,TLS_AES_128_GCM_SHA256,pricing_probe,ok,3,3,190,https://corp.com/pricing,U008,CLAPP8,SIGX8,headless,VIS008,2026,5,1,8,7,RATE_LIMIT,10.0.0.8,0,Scrapy/2.9,true,TLSFP008,1008,PRX08,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Paris,94.66.41.8,443,true,FR,2026-05-01T08:08:01Z,EP009,2026-05-01T08:08:05Z,"48.85,2.35",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1009,230,"qty=6",HTTPS,"?event=990",direct,2026-05-01T08:08:05Z,REQ0009,BLOCKED,2026-05-01T08:08:01Z,inventory_hoard,2026-05-01T08:08:05Z,2026-05-01T08:08:03Z,SN009,SID1009,2026-05-01T08:08:03Z,2026-05-01T08:08:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,230,https://corp.com/buy,U009,CLAPP9,SIGX9,automation,VIS009,2026,5,1,8,8,HARD_BLOCK,10.0.0.9,900,selenium-bot,true,TLSFP009,1009,PRX09,2026-05-01,critical
ALLOW,0,0,normal,false,Toronto,172.18.10.4,443,true,CA,2026-05-01T08:09:01Z,EP010,2026-05-01T08:09:02Z,"43.65,-79.38",std_headers,0,0,HTTP/2,false,true,None,GET,1,1,OBJ1010,22,,HTTPS,"",direct,2026-05-01T08:09:02Z,REQ0010,ALLOWED,2026-05-01T08:09:01Z,None,2026-05-01T08:09:02Z,2026-05-01T08:09:02Z,SN010,SID1010,2026-05-01T08:09:02Z,2026-05-01T08:09:00Z,SITE01,TLS_AES_256_GCM_SHA384,normal_browse,ok,1,1,22,https://corp.com/home,U010,CLAPP10,SIGX10,browser,VIS010,2026,5,1,8,9,NONE,10.0.0.10,256,Chrome/124,false,TLSFP010,1010,,2026-05-01,low
ALLOW,2,2,credential_stuffing,true,Singapore,210.17.55.9,443,true,SG,2026-05-01T08:10:01Z,EP011,2026-05-01T08:10:03Z,"1.35,103.82",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1011,101,"username=a1&password=b1",HTTPS,"?retry=3",direct,2026-05-01T08:10:03Z,REQ0011,BLOCKED,2026-05-01T08:10:01Z,password_spray,2026-05-01T08:10:03Z,2026-05-01T08:10:02Z,SN011,SID1011,2026-05-01T08:10:02Z,2026-05-01T08:10:00Z,SITE01,TLS_AES_128_GCM_SHA256,login_wave,ok,6,6,101,https://corp.com/login,U011,CLAPP11,SIGX11,script,VIS011,2026,5,1,8,10,SOFT_BLOCK,10.0.0.11,700,python-requests/2.31,true,TLSFP011,1011,PRX11,2026-05-01,high
ALLOW,1,1,scraping,true,Sydney,203.11.41.91,443,true,AU,2026-05-01T08:11:01Z,EP012,2026-05-01T08:11:03Z,"-33.86,151.20",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1012,175,,HTTPS,"?sku=71",refsite.com,2026-05-01T08:11:03Z,REQ0012,CHALLENGED,2026-05-01T08:11:01Z,api_harvest,2026-05-01T08:11:03Z,2026-05-01T08:11:02Z,SN012,SID1012,2026-05-01T08:11:02Z,2026-05-01T08:11:00Z,SITE01,TLS_AES_256_GCM_SHA384,api_probe,ok,3,3,175,https://corp.com/api/products,U012,CLAPP12,SIGX12,headless,VIS012,2026,5,1,8,11,RATE_LIMIT,10.0.0.12,0,Go-http-client/1.1,true,TLSFP012,1012,PRX12,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Dublin,81.44.22.10,443,true,IE,2026-05-01T08:12:01Z,EP013,2026-05-01T08:12:05Z,"53.34,-6.26",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1013,260,"qty=8",HTTPS,"?event=777",direct,2026-05-01T08:12:05Z,REQ0013,BLOCKED,2026-05-01T08:12:01Z,inventory_hoard,2026-05-01T08:12:05Z,2026-05-01T08:12:03Z,SN013,SID1013,2026-05-01T08:12:03Z,2026-05-01T08:12:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,260,https://corp.com/checkout,U013,CLAPP13,SIGX13,automation,VIS013,2026,5,1,8,12,HARD_BLOCK,10.0.0.13,980,Playwright,true,TLSFP013,1013,PRX13,2026-05-01,critical
ALLOW,0,0,normal,false,Chicago,71.21.44.3,443,true,US,2026-05-01T08:13:01Z,EP014,2026-05-01T08:13:02Z,"41.87,-87.62",std_headers,0,0,HTTP/2,false,true,None,GET,1,1,OBJ1014,14,,HTTPS,"",google.com,2026-05-01T08:13:02Z,REQ0014,ALLOWED,2026-05-01T08:13:01Z,None,2026-05-01T08:13:02Z,2026-05-01T08:13:02Z,SN014,SID1014,2026-05-01T08:13:02Z,2026-05-01T08:13:00Z,SITE01,TLS_AES_256_GCM_SHA384,normal_browse,ok,1,1,14,https://corp.com/search,U014,CLAPP14,SIGX14,browser,VIS014,2026,5,1,8,13,NONE,10.0.0.14,128,Firefox/125,false,TLSFP014,1014,,2026-05-01,low
